FileNumber,BeThickness,EffectiveLaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,ShockLocation
1891,65,21,2197.567945,1.451770665,1.072290258,432.387914,536.6454352,591.7942838,1.85E-08,0.6,2255.127
1892,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.000000019,0.6,2517.259
1893,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,1.95E-08,0.6,2577.289
1894,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.00000002,0.6,2635.318
1895,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,2.05E-08,0.6,2693.347
1896,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.000000021,0.6,2751.376
1897,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,2.15E-08,0.6,2805.403
1898,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.000000022,0.6,2859.43
1899,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,2.25E-08,0.6,2913.457
1900,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.000000024,0.6,3067.534
1901,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,2.45E-08,0.6,3115.558
1902,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.000000023,0.6,2965.483
1903,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,2.35E-08,0.6,3017.509
1904,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.000000026,0.6,3267.634
1905,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,2.65E-08,0.6,3315.658
1906,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.000000025,0.6,3161.581
