FileNumber,BeThickness,LaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,EnergyScaleFactor,ShockLocation
2331,115,18,3990,1.1,1,500,500,575,0.000000027,0.04,1.1,4591.864
2487,123,18,3990,1.1,1,500,500,575,0.000000005,0.1,1.1,1070.69
2488,123,18,3990,1.1,1,500,500,575,0.000000006,0.1,1.1,1290.764
2489,123,18,3990,1.1,1,500,500,575,0.000000007,0.1,1.1,1504.835
2490,123,18,3990,1.1,1,500,500,575,0.000000008,0.1,1.1,1720.907
2491,123,18,3990,1.1,1,500,500,575,0.000000009,0.1,1.1,1932.978
2492,123,18,3990,1.1,1,500,500,575,0.00000001,0.1,1.1,2135.045
2493,123,18,3990,1.1,1,500,500,575,0.000000011,0.1,1.1,2333.111
2494,123,18,3990,1.1,1,500,500,575,0.000000012,0.1,1.1,2511.17
2495,123,18,3990,1.1,1,500,500,575,0.000000013,0.1,1.1,2691.23
2496,123,18,3990,1.1,1,500,500,575,0.000000014,0.1,1.1,2983.328
2497,123,18,3990,1.1,1,500,500,575,0.000000015,0.1,1.1,3129.376
2498,123,18,3990,1.1,1,500,500,575,0.000000016,0.1,1.1,3167.389
2499,123,18,3990,1.1,1,500,500,575,0.000000017,0.1,1.1,3333.444
2500,123,18,3990,1.1,1,500,500,575,0.000000018,0.1,1.1,3529.51
2501,123,18,3990,1.1,1,500,500,575,0.000000019,0.1,1.1,3639.546
2502,123,18,3990,1.1,1,500,500,575,0.00000002,0.1,1.1,3771.591
2503,123,18,3990,1.1,1,500,500,575,0.000000021,0.1,1.1,3913.638
2504,123,18,3990,1.1,1,500,500,575,0.000000022,0.1,1.1,4045.682
2505,123,18,3990,1.1,1,500,500,575,0.000000023,0.1,1.1,4165.722
2506,123,18,3990,1.1,1,500,500,575,0.000000024,0.1,1.1,4295.765
2507,123,18,3990,1.1,1,500,500,575,0.000000025,0.1,1.1,4477.826
2508,123,18,3990,1.1,1,500,500,575,0.000000026,0.1,1.1,4605.869
2082,103,18,3990,1.2032,1,500,500,575,0.000000009,0.04,0.4,1074.537
2083,103,18,3990,1.2032,1,500,500,575,0.00000001,0.04,0.4,1186.593
2084,103,18,3990,1.2032,1,500,500,575,0.000000011,0.04,0.4,1298.649
2085,103,18,3990,1.2032,1,500,500,575,0.000000012,0.04,0.4,1406.703
2086,103,18,3990,1.2032,1,500,500,575,0.000000013,0.04,0.4,1514.757
2087,103,18,3990,1.2032,1,500,500,575,0.000000014,0.04,0.4,1628.814
2088,103,18,3990,1.2032,1,500,500,575,0.000000015,0.04,0.4,1738.869
2089,103,18,3990,1.2032,1,500,500,575,0.000000016,0.04,0.4,1840.92
2090,103,18,3990,1.2032,1,500,500,575,0.000000017,0.04,0.4,1950.975
